Unnamed: 0,transcript,common_ground,scores,actual_common_ground,Group
53,"purple block, green block looks almost a little bit heavier but it is it's close enough so fifty is not an option yeah definitely let's put sixty",green != 50,0.43548194,<m> yellow = 50 </m>,5
54,"purple block, green block looks almost a little bit heavier but it is it's close enough so fifty is not an option yeah definitely let's put sixty",purple < 50,0.3035533,<m> yellow = 50 </m>,5
55,"and purple block is thirty right and red block is ten so purple block, red block would be forty so yellow block's more than forty and less than sixty so yellow block's gotta be fifty",red = 10,0.35057867,<m> yellow = 50 </m>,5
56,"and purple block is thirty right and red block is ten so purple block, red block would be forty so yellow block's more than forty and less than sixty so yellow block's gotta be fifty",red = 30,0.33347645,<m> yellow = 50 </m>,5
57,"and purple block is thirty right and red block is ten so purple block, red block would be forty so yellow block's more than forty and less than sixty so yellow block's gotta be fifty",red = 50,0.3099803,<m> yellow = 50 </m>,5
58,"and purple block is thirty right and red block is ten so purple block, red block would be forty so yellow block's more than forty and less than sixty so yellow block's gotta be fifty",red = 40,0.21718381,<m> yellow = 50 </m>,5
59,"and purple block is thirty right and red block is ten so purple block, red block would be forty so yellow block's more than forty and less than sixty so yellow block's gotta be fifty",yellow = 10,0.21470869,<m> yellow = 50 </m>,5
60,i think yellow block is fifty and purple block is thirty,purple = 50,0.95133245,"<m> purple = 30, yellow = 50 </m>",5
61,i think yellow block is fifty and purple block is thirty,yellow = 50,0.94695735,"<m> purple = 30, yellow = 50 </m>",5
62,i think yellow block is fifty and purple block is thirty,purple = 30,0.9396579,"<m> purple = 30, yellow = 50 </m>",5
63,i think yellow block is fifty and purple block is thirty,yellow = 30,0.9376123,"<m> purple = 30, yellow = 50 </m>",5
64,i think yellow block is fifty and purple block is thirty,purple > 30,0.13236037,"<m> purple = 30, yellow = 50 </m>",5
65,yeah let's go thirty ok so purple block's thirty,purple = 30,0.94165266,<m> purple = 30 </m>,5
66,yeah let's go thirty ok so purple block's thirty,purple != 30,0.060493186,<m> purple = 30 </m>,5
67,yeah let's go thirty ok so purple block's thirty,purple > 30,0.01399443,<m> purple = 30 </m>,5
68,yeah let's go thirty ok so purple block's thirty,purple < 30,0.008239925,<m> purple = 30 </m>,5
0,We will tell you that the weight of the red cube is ten grams,red = 10,0.9936852,<m> red = 10 </m>,3
1,We will tell you that the weight of the red cube is ten grams,red > 10,0.02225919,<m> red = 10 </m>,3
2,We will tell you that the weight of the red cube is ten grams,red < 10,0.0043702666,<m> red = 10 </m>,3
3,We will tell you that the weight of the red cube is ten grams,red != 10,0.0036522727,<m> red = 10 </m>,3
4,"i think red block, blue block're the same weight yeah",blue = red,0.0832801,<m> blue = red </m>,3
5,"i think red block, blue block're the same weight yeah",blue = red,0.0832801,<m> blue = red </m>,3
6,"i think red block, blue block're the same weight yeah",blue < red,0.0021505437,<m> blue = red </m>,3
7,"i think red block, blue block're the same weight yeah",red < blue,0.001993415,<m> blue = red </m>,3
8,"i think red block, blue block're the same weight yeah",blue > red,0.0018021842,<m> blue = red </m>,3
9,sufficient to say green block one's probably twenty or,green = 20,0.9922792,<m> green = 20 </m>,3
10,sufficient to say green block one's probably twenty or,green > 20,0.270455,<m> green = 20 </m>,3
11,sufficient to say green block one's probably twenty or,green < 20,0.19804737,<m> green = 20 </m>,3
12,sufficient to say green block one's probably twenty or,green != 20,0.12893847,<m> green = 20 </m>,3
13,the purple one is thirty,purple = 30,0.98916644,<m> purple = 30 </m>,3
14,the purple one is thirty,purple > 30,0.20961827,<m> purple = 30 </m>,3
15,the purple one is thirty,purple != 30,0.08373672,<m> purple = 30 </m>,3
16,the purple one is thirty,purple < 30,0.049481943,<m> purple = 30 </m>,3
17,green is twenty and purple is thirty so yellow block weighs to fifty,"green = 30, purple = 50, yellow = 20",0.021262228,"<m> green = 20, purple = 30, yellow = 50 </m>",3
18,green is twenty and purple is thirty so yellow block weighs to fifty,"green = 30, purple = 20, yellow = 50",0.015398286,"<m> green = 20, purple = 30, yellow = 50 </m>",3
19,green is twenty and purple is thirty so yellow block weighs to fifty,"green = 20, purple = 30, yellow = 50",0.014831233,"<m> green = 20, purple = 30, yellow = 50 </m>",3
20,green is twenty and purple is thirty so yellow block weighs to fifty,"green = 20, purple = 50, yellow = 30",0.012314489,"<m> green = 20, purple = 30, yellow = 50 </m>",3
21,green is twenty and purple is thirty so yellow block weighs to fifty,"green = 50, purple = 20, yellow = 30",0.007966739,"<m> green = 20, purple = 30, yellow = 50 </m>",3
22,yeah i mentioned here green is twenty,green = 20,0.995437,<m> green = 20 </m>,3
23,yeah i mentioned here green is twenty,green > 20,0.009133246,<m> green = 20 </m>,3
24,yeah i mentioned here green is twenty,green < 20,0.0030749426,<m> green = 20 </m>,3
25,yeah i mentioned here green is twenty,green != 20,0.0028267852,<m> green = 20 </m>,3
26,yellow is of course not ten but,yellow = 10,0.993485,<m> yellow != 10 </m>,3
27,yellow is of course not ten but,yellow > 10,0.25226924,<m> yellow != 10 </m>,3
28,yellow is of course not ten but,yellow < 10,0.2388451,<m> yellow != 10 </m>,3
29,yellow is of course not ten but,yellow != 10,0.1479085,<m> yellow != 10 </m>,3
30,"no so when we try purple block, green block both",green = purple,0.98988473,<m> yellow > green blue red </m>,3
31,"no so when we try purple block, green block both",green = purple,0.98988473,<m> yellow > green blue red </m>,3
32,"no so when we try purple block, green block both",purple > green,0.24035552,<m> yellow > green blue red </m>,3
33,"no so when we try purple block, green block both",green > purple,0.13844411,<m> yellow > green blue red </m>,3
34,"no so when we try purple block, green block both",purple < green,0.08278727,<m> yellow > green blue red </m>,3
35,so i feel yellow is fifty,yellow = 50,0.9908032,<m> yellow = 50 </m>,3
36,so i feel yellow is fifty,yellow < 50,0.39053604,<m> yellow = 50 </m>,3
37,so i feel yellow is fifty,yellow > 50,0.31208828,<m> yellow = 50 </m>,3
38,so i feel yellow is fifty,yellow != 50,0.10457992,<m> yellow = 50 </m>,3
39,yellow block's for sure not thirty,yellow = 30,0.9922668,<m> yellow != 30 </m>,3
40,yellow block's for sure not thirty,yellow > 30,0.11066996,<m> yellow != 30 </m>,3
41,yellow block's for sure not thirty,yellow < 30,0.0365757,<m> yellow != 30 </m>,3
42,yellow block's for sure not thirty,yellow != 30,0.023451107,<m> yellow != 30 </m>,3
43,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's",purple = 40,0.98719645,<m> yellow = 50 </m>,3
44,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's",blue = 40,0.98601073,<m> yellow = 50 </m>,3
45,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's",red = 40,0.9822786,<m> yellow = 50 </m>,3
46,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's",yellow = 40,0.98123145,<m> yellow = 50 </m>,3
47,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's",yellow < 40,0.48531747,<m> yellow = 50 </m>,3
48,yeah and yellow block is fifty,yellow = 50,0.9945897,"<m> purple = 30, yellow = 50 </m>",3
49,yeah and yellow block is fifty,yellow > 50,0.0092687085,"<m> purple = 30, yellow = 50 </m>",3
50,yeah and yellow block is fifty,yellow < 50,0.006592201,"<m> purple = 30, yellow = 50 </m>",3
51,yeah and yellow block is fifty,yellow != 50,0.0056273323,"<m> purple = 30, yellow = 50 </m>",3
0,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um,red = 10,0.81192887,<m> red = 10 </m>,2
1,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um,red < 10,0.23268282,<m> red = 10 </m>,2
2,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um,red > 10,0.2119172,<m> red = 10 </m>,2
3,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um,red != 10,0.18808791,<m> red = 10 </m>,2
4,"needle goes over the red line that means red block, blue block're probably equal",blue = red,0.7995723,<m> blue = red </m>,2
5,"needle goes over the red line that means red block, blue block're probably equal",blue = red,0.7995723,<m> blue = red </m>,2
6,"needle goes over the red line that means red block, blue block're probably equal",blue < red,0.15690811,<m> blue = red </m>,2
7,"needle goes over the red line that means red block, blue block're probably equal",blue > red,0.14647722,<m> blue = red </m>,2
8,"needle goes over the red line that means red block, blue block're probably equal",red < blue,0.14053127,<m> blue = red </m>,2
9,so blue block one is probably ten grams too,blue = 10,0.8864527,<m> blue = 10 </m>,2
10,so blue block one is probably ten grams too,blue < 10,0.15568608,<m> blue = 10 </m>,2
11,so blue block one is probably ten grams too,blue > 10,0.12659922,<m> blue = 10 </m>,2
12,so blue block one is probably ten grams too,blue != 10,0.124770045,<m> blue = 10 </m>,2
13,The first two are ten,purple = 10,0.8980019,"<m> blue = 10, red = 10 </m>",2
14,The first two are ten,green = 10,0.89343554,"<m> blue = 10, red = 10 </m>",2
15,The first two are ten,blue = 10,0.89344156,"<m> blue = 10, red = 10 </m>",2
16,The first two are ten,red = 10,0.89158297,"<m> blue = 10, red = 10 </m>",2
17,The first two are ten,yellow = 10,0.8895598,"<m> blue = 10, red = 10 </m>",2
18,so knowing that uh oh sorry the green one was yeah,green = 10,0.91007304,<m> green = 20 </m>,2
19,so knowing that uh oh sorry the green one was yeah,green = 50,0.9048629,<m> green = 20 </m>,2
20,so knowing that uh oh sorry the green one was yeah,green = 20,0.9021845,<m> green = 20 </m>,2
21,so knowing that uh oh sorry the green one was yeah,green = 30,0.8988568,<m> green = 20 </m>,2
22,so knowing that uh oh sorry the green one was yeah,green = 40,0.8973582,<m> green = 20 </m>,2
23,So you know twenty plus ten thirty probably,"blue = 20, green = 30, red = 10",0.1231755,<m> purple = 30 </m>,2
24,So you know twenty plus ten thirty probably,"blue = 30, green = 20, red = 10",0.12166476,<m> purple = 30 </m>,2
25,So you know twenty plus ten thirty probably,"blue = 20, green = 30, purple = 10",0.107903756,<m> purple = 30 </m>,2
26,So you know twenty plus ten thirty probably,"green = 20, red = 30, yellow = 10",0.10328321,<m> purple = 30 </m>,2
27,So you know twenty plus ten thirty probably,"blue = 20, green = 10, red = 30",0.10998848,<m> purple = 30 </m>,2
28,i guess and there's no increment so five so we could probably just go with thirty on purple block,purple = 30,0.88315845,<m> purple = 30 </m>,2
29,i guess and there's no increment so five so we could probably just go with thirty on purple block,purple != 30,0.24965823,<m> purple = 30 </m>,2
30,i guess and there's no increment so five so we could probably just go with thirty on purple block,purple < 30,0.23806413,<m> purple = 30 </m>,2
31,i guess and there's no increment so five so we could probably just go with thirty on purple block,purple > 30,0.19780582,<m> purple = 30 </m>,2
32,Which is too much so we'll put twenty right,green = 20,0.8645953,<m> yellow > purple </m>,2
33,Which is too much so we'll put twenty right,purple = 20,0.85478675,<m> yellow > purple </m>,2
34,Which is too much so we'll put twenty right,red = 20,0.8507126,<m> yellow > purple </m>,2
35,Which is too much so we'll put twenty right,yellow = 20,0.8479701,<m> yellow > purple </m>,2
36,Which is too much so we'll put twenty right,blue = 20,0.81668496,<m> yellow > purple </m>,2
37,"so purple block, green block's the twenty and the thirty",green = 30,0.8706182,"<m> green = 20, purple = 30 </m>",2
38,"so purple block, green block's the twenty and the thirty",green = 20,0.8684355,"<m> green = 20, purple = 30 </m>",2
39,"so purple block, green block's the twenty and the thirty",purple = 30,0.8623147,"<m> green = 20, purple = 30 </m>",2
40,"so purple block, green block's the twenty and the thirty",purple = 20,0.85905683,"<m> green = 20, purple = 30 </m>",2
41,"so purple block, green block's the twenty and the thirty",purple < 30,0.29492888,"<m> green = 20, purple = 30 </m>",2
42,Oh yeah the twenty and the thirty so we'll go with the fifty,"blue = 20, green = 30, red = 50",0.116293386,<m> yellow = 50 </m>,2
43,Oh yeah the twenty and the thirty so we'll go with the fifty,"blue = 30, green = 20, red = 50",0.11132081,<m> yellow = 50 </m>,2
44,Oh yeah the twenty and the thirty so we'll go with the fifty,"blue = 20, green = 50, red = 30",0.105425596,<m> yellow = 50 </m>,2
45,Oh yeah the twenty and the thirty so we'll go with the fifty,"green = 20, red = 30, yellow = 50",0.10609706,<m> yellow = 50 </m>,2
46,Oh yeah the twenty and the thirty so we'll go with the fifty,"blue = 20, green = 30, yellow = 50",0.10394284,<m> yellow = 50 </m>,2
0,I will tell you that the red cube is ten grams,red = 10,0.99911577,<m> red = 10 </m>,7
1,I will tell you that the red cube is ten grams,red != 10,0.0022352128,<m> red = 10 </m>,7
2,I will tell you that the red cube is ten grams,red > 10,0.00076928415,<m> red = 10 </m>,7
3,I will tell you that the red cube is ten grams,red < 10,0.0005669523,<m> red = 10 </m>,7
4,blue block seems to be ten,blue = 10,0.18086441,<m> blue = 10 </m>,7
5,blue block seems to be ten,blue > 10,0.16890028,<m> blue = 10 </m>,7
6,blue block seems to be ten,blue < 10,0.15661225,<m> blue = 10 </m>,7
7,blue block seems to be ten,blue != 10,0.053267114,<m> blue = 10 </m>,7
8,"yeah red block, blue block should be twenty as well",red = 20,0.9990822,<m> green = 20 </m>,7
9,"yeah red block, blue block should be twenty as well",blue = 20,0.99897194,<m> green = 20 </m>,7
10,"yeah red block, blue block should be twenty as well",blue != 20,0.47068024,<m> green = 20 </m>,7
11,"yeah red block, blue block should be twenty as well","blue = 10, red = 20, yellow = 10",0.35959288,<m> green = 20 </m>,7
12,"yeah red block, blue block should be twenty as well",red != 20,0.3236356,<m> green = 20 </m>,7
13,yeah i think purple block's yeah thirty,purple = 30,0.9979971,<m> purple = 30 </m>,7
14,yeah i think purple block's yeah thirty,purple != 30,0.0431191,<m> purple = 30 </m>,7
15,yeah i think purple block's yeah thirty,purple > 30,0.0025086196,<m> purple = 30 </m>,7
16,yeah i think purple block's yeah thirty,purple < 30,0.0012324833,<m> purple = 30 </m>,7
17,So is twenty and there is thirty,"blue = 20, green = 20, purple = 30",0.29995954,"<m> green = 20, purple = 30 </m>",7
18,So is twenty and there is thirty,"blue = 20, green = 30, purple = 20",0.23504555,"<m> green = 20, purple = 30 </m>",7
19,So is twenty and there is thirty,"blue = 30, green = 30, purple = 20",0.23120792,"<m> green = 20, purple = 30 </m>",7
20,So is twenty and there is thirty,"blue = 30, green = 20, purple = 20",0.20414527,"<m> green = 20, purple = 30 </m>",7
21,So is twenty and there is thirty,"blue = 20, green = 30, purple = 30",0.201739,"<m> green = 20, purple = 30 </m>",7
22,Fifty I guess,purple = 50,0.99832165,<m> yellow = 50 </m>,7
23,Fifty I guess,blue = 50,0.99830157,<m> yellow = 50 </m>,7
24,Fifty I guess,yellow = 50,0.9979074,<m> yellow = 50 </m>,7
25,Fifty I guess,green = 50,0.9975783,<m> yellow = 50 </m>,7
26,Fifty I guess,red = 50,0.9973079,<m> yellow = 50 </m>,7
27,ah yeah because yeah so yellow block's fifty,yellow = 50,0.9667357,<m> yellow = 50 </m>,7
28,ah yeah because yeah so yellow block's fifty,yellow != 50,0.45866495,<m> yellow = 50 </m>,7
29,ah yeah because yeah so yellow block's fifty,yellow > 50,0.004944046,<m> yellow = 50 </m>,7
30,ah yeah because yeah so yellow block's fifty,yellow < 50,0.0015382678,<m> yellow = 50 </m>,7
31,no okay i think yellow block's fifty,yellow = 50,0.9971991,<m> yellow = 50 </m>,7
32,no okay i think yellow block's fifty,yellow != 50,0.47441682,<m> yellow = 50 </m>,7
33,no okay i think yellow block's fifty,yellow > 50,0.2901513,<m> yellow = 50 </m>,7
34,no okay i think yellow block's fifty,yellow < 50,0.004550626,<m> yellow = 50 </m>,7
0,I will tell you that the red cube is ten grams,red = 10,0.9975307,<m> red = 10 </m>,6
1,I will tell you that the red cube is ten grams,red != 10,0.004441123,<m> red = 10 </m>,6
2,I will tell you that the red cube is ten grams,red > 10,0.0009022765,<m> red = 10 </m>,6
3,I will tell you that the red cube is ten grams,red < 10,0.000589221,<m> red = 10 </m>,6
4,i guess if red block red one's ten grams,red = 10,0.9972415,<m> red = 10 </m>,6
5,i guess if red block red one's ten grams,red != 10,0.19998442,<m> red = 10 </m>,6
6,i guess if red block red one's ten grams,red > 10,0.031821094,<m> red = 10 </m>,6
7,i guess if red block red one's ten grams,red < 10,0.0042164926,<m> red = 10 </m>,6
8,"seems like red block, blue block might be about the same",blue = red,0.943457,<m> blue = red </m>,6
9,"seems like red block, blue block might be about the same",blue = red,0.943457,<m> blue = red </m>,6
10,"seems like red block, blue block might be about the same",red > blue,0.0010307706,<m> blue = red </m>,6
11,"seems like red block, blue block might be about the same",blue > red,0.0009892278,<m> blue = red </m>,6
12,"seems like red block, blue block might be about the same",red < blue,0.0007344326,<m> blue = red </m>,6
13,"it's just stuff written at the bottom that's a so red block, green block's a ten and a twenty right now right that's looking",green = 20,0.9964442,"<m> green = 20, red = 10 </m>",6
14,"it's just stuff written at the bottom that's a so red block, green block's a ten and a twenty right now right that's looking",green = 10,0.99614596,"<m> green = 20, red = 10 </m>",6
15,"it's just stuff written at the bottom that's a so red block, green block's a ten and a twenty right now right that's looking",red = 20,0.99587333,"<m> green = 20, red = 10 </m>",6
16,"it's just stuff written at the bottom that's a so red block, green block's a ten and a twenty right now right that's looking",red = 10,0.9957491,"<m> green = 20, red = 10 </m>",6
17,"it's just stuff written at the bottom that's a so red block, green block's a ten and a twenty right now right that's looking","green = 20, red = 10, yellow = 50",0.3541503,"<m> green = 20, red = 10 </m>",6
18,ok so purple block's more than twenty but it almost seems like the thirty takes it past but,purple = 20,0.9769896,"<m> purple < 30, purple > 20 </m>",6
19,ok so purple block's more than twenty but it almost seems like the thirty takes it past but,purple = 30,0.9427254,"<m> purple < 30, purple > 20 </m>",6
20,ok so purple block's more than twenty but it almost seems like the thirty takes it past but,purple != 20,0.47735932,"<m> purple < 30, purple > 20 </m>",6
21,ok so purple block's more than twenty but it almost seems like the thirty takes it past but,purple != 30,0.46045938,"<m> purple < 30, purple > 20 </m>",6
22,ok so purple block's more than twenty but it almost seems like the thirty takes it past but,"blue = 30, green = 10, purple = 50",0.012173503,"<m> purple < 30, purple > 20 </m>",6
23,"if red block, blue block, green block, yellow block, purple block're only in increments of ten purple block has to be",yellow = 10,0.8178557,<m> purple = 30 </m>,6
24,"if red block, blue block, green block, yellow block, purple block're only in increments of ten purple block has to be",purple = 10,0.81571996,<m> purple = 30 </m>,6
25,"if red block, blue block, green block, yellow block, purple block're only in increments of ten purple block has to be",red = 10,0.76686126,<m> purple = 30 </m>,6
26,"if red block, blue block, green block, yellow block, purple block're only in increments of ten purple block has to be",blue = 10,0.69668543,<m> purple = 30 </m>,6
27,"if red block, blue block, green block, yellow block, purple block're only in increments of ten purple block has to be",green = 10,0.68685895,<m> purple = 30 </m>,6
28,Fifty,green = 50,0.9969168,<m> yellow = 50 </m>,6
29,Fifty,blue = 50,0.997012,<m> yellow = 50 </m>,6
30,Fifty,purple = 50,0.9962371,<m> yellow = 50 </m>,6
31,Fifty,yellow = 50,0.9955306,<m> yellow = 50 </m>,6
32,Fifty,red = 50,0.9937824,<m> yellow = 50 </m>,6
33,"yeah purple block, green block's considerably heavier so purple block one did we say purple block was thirty",green = 30,0.99451274,<m> yellow < 50 </m>,6
34,"yeah purple block, green block's considerably heavier so purple block one did we say purple block was thirty",purple = 30,0.99429476,<m> yellow < 50 </m>,6
35,"yeah purple block, green block's considerably heavier so purple block one did we say purple block was thirty",purple != 30,0.47559088,<m> yellow < 50 </m>,6
36,"yeah purple block, green block's considerably heavier so purple block one did we say purple block was thirty",green != 30,0.44082394,<m> yellow < 50 </m>,6
37,"yeah purple block, green block's considerably heavier so purple block one did we say purple block was thirty",green > 30,0.044738747,<m> yellow < 50 </m>,6
38,yeah purple block's thirty green is twenty,purple = 30,0.9977355,"<m> green = 20, purple = 30 </m>",6
39,yeah purple block's thirty green is twenty,purple = 20,0.9976889,"<m> green = 20, purple = 30 </m>",6
40,yeah purple block's thirty green is twenty,green = 30,0.99739826,"<m> green = 20, purple = 30 </m>",6
41,yeah purple block's thirty green is twenty,green = 20,0.99734646,"<m> green = 20, purple = 30 </m>",6
42,yeah purple block's thirty green is twenty,purple != 20,0.46565816,"<m> green = 20, purple = 30 </m>",6
43,red and small blue are both ten,blue = 10,0.9981154,"<m> blue = 10, red = 10 </m>",6
44,red and small blue are both ten,red = 10,0.9970186,"<m> blue = 10, red = 10 </m>",6
45,red and small blue are both ten,"blue = 10, green = 10, red = 10",0.36985245,"<m> blue = 10, red = 10 </m>",6
46,red and small blue are both ten,"blue = 20, green = 10, red = 10",0.3491587,"<m> blue = 10, red = 10 </m>",6
47,red and small blue are both ten,"green = 20, red = 10, yellow = 10",0.3458481,"<m> blue = 10, red = 10 </m>",6
48,"but green block, purple block's too heavy",green = purple,0.79071254,<m> yellow < purple green </m>,6
49,"but green block, purple block's too heavy",green = purple,0.79071254,<m> yellow < purple green </m>,6
50,"but green block, purple block's too heavy",green != purple,0.47474197,<m> yellow < purple green </m>,6
51,"but green block, purple block's too heavy",green != purple,0.47474197,<m> yellow < purple green </m>,6
52,"but green block, purple block's too heavy",purple > green,0.46690547,<m> yellow < purple green </m>,6
53,"purple block, green block is fifty on here so then",green = 50,0.99862766,<m> purple green = 50 </m>,6
54,"purple block, green block is fifty on here so then",purple = 50,0.99854356,<m> purple green = 50 </m>,6
55,"purple block, green block is fifty on here so then",green != 50,0.56873864,<m> purple green = 50 </m>,6
56,"purple block, green block is fifty on here so then",purple != 50,0.52465117,<m> purple green = 50 </m>,6
57,"purple block, green block is fifty on here so then","green = 50, red = 10, yellow = 10",0.0822247,<m> purple green = 50 </m>,6
58,"so purple block, blue block should be forty right there",blue = 40,0.99822426,<m> purple blue = 40 </m>,6
59,"so purple block, blue block should be forty right there",purple = 40,0.99780726,<m> purple blue = 40 </m>,6
